IdAlim,Alimentazione,Tensione,Fasi,Frequnza
1,"400V / 3ph / 50Hz",400,3,50
2,"230V / 3ph / 60Hz",230,3,60
3,"380V / 3ph / 60Hz",380,3,60
4,"460V / 3ph / 60Hz",460,3,60
5,"230V / 3ph / 50Hz",230,3,50
6,"230V / 1ph / 60Hz",230,1,60
7,"230V / 1ph / 50Hz",230,1,50
8,"208V / 3ph / 60Hz UL",208,3,60
9,"200V / 3ph / 50Hz",200,3,50
10,"500V / 3ph / 50Hz",500,3,50
11,"575V / 3ph / 60Hz",575,3,60
12,"430V / 3Ph / 50Hz",430,3,50
13,"690V / 3Ph / 50Hz",690,3,50
14,"200V / 3ph / 60Hz",200,3,60
15,"208V / 3ph / 60Hz",208,3,60
16,"230V / 3ph / 60Hz UL",230,3,60
17,"380V / 3ph / 50Hz",380,3,50
18,"380V / 3ph / 60Hz UL",380,3,60
19,"460V / 3ph / 60Hz UL",460,3,60
20,"575V / 3ph / 60Hz UL",575,3,60
21,"190V / 3ph / 50Hz",190,3,50
22,"660V / 3Ph / 60Hz",660,3,60
23,"3Ph / 50Hz",415,3,50
24,"3Ph / 60Hz",480,3,60
