IdCompBuilder,Builder,Tipologie,Alimentazioni,Freon
1,"Copeland",10,190,"16:0;17:0;26:0;45:1;45:0;51:0"
2,"Bitzer",14,15922,"16:0;17:0;26:0;45:1;45:0;51:0"
3,"Dorin",0,0,
4,"Fu Sheng",0,0,
5,"Hanbell",4,2,"26:0"
6,"Maneurop (legacy)",2,3134,"26:0;45:1;51:0"
7,"Daikin",4,2,"16:0"
8,"RefComp",12,2,"16:0;17:0;26:0;45:1;45:0;51:0;67:0"
9,"Sanyo",18,146,"51:0;45:0"
10,"Tecumseh",2,130,"16:0;45:1"
11,"Danfoss",2,2,"17:0;26:0"
12,"Frascold",8,254,"16:0;17:0;26:0;45:1;51:0"
13,"Maneurop",2,3134,"51:0"
14,"Bitzer v6.3.2.r900",6,479038,"16:0;17:0;26:0;45:1;45:0;51:0"
15,"Bitzer v6.4.1.rev1210",4,6454334,"16:0;26:0;45:1"
16,"Hanbell v4.3.2",4,25165824,"16:0;17:0;26:0;45:1"
17,"Copeland v7.9",2,10,"16:0;26:0;45:1"
18,"Frascold v2.0",4,2,"16:0;17:0;26:0;45:1"
19,"Bitzer v6.4.3.rev1302",196,18,"16:0;331:1;332:1;333:1;337:1"
